PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
111.8,15900.0,-75.5,-86.9,-82.9,15.0,30.0,0.0,260.0,52.0,369.7,369.7,369.7
112.0,15967.406649616369,-76.95703324808184,-85.37340153452685,-81.27902813299232,28.682864450127877,55.90281329923274,5.1150895140664964e-05,244.20204603580564,29.29923273657289,366.7227621483376,366.73606138107414,366.7235294117647
112.3,15850.0,-77.8,-85.3,-81.2,29.0,57.0,0.0,290.0,39.0,364.8,364.8,364.8
112.4,15850.0,-76.3,-86.0,-81.9,20.0,39.0,0.0,265.0,21.0,367.7,367.7,367.7
112.5,15850.0,-78.6,-84.5,-80.4,38.0,74.0,0.0,275.0,65.0,363.2,363.2,363.2
112.6,15850.0,-76.9,-85.85,-81.75,23.5,45.5,0.0,270.0,56.5,366.20000000000005,366.25,366.20000000000005
112.7,15866.666666666666,-76.7,-89.8,-85.89999999999999,12.333333333333334,23.333333333333332,0.0,265.0,50.666666666666664,366.5,366.5,366.5
112.8,15850.0,-73.15,-83.85,-79.75,18.5,35.5,0.0,250.0,43.5,373.15,373.15,373.15
112.9,15850.0,-73.625,-84.8,-80.675,16.75,32.25,0.0,272.5,38.5,372.1,372.1,372.1
113.0,15913.294416243654,-76.93172588832486,-85.08299492385785,-80.97944162436549,29.756345177664976,57.98223350253807,7.614213197969543e-05,247.95939086294416,30.746192893401016,365.83781725888326,365.8535532994924,365.83832487309644
113.1,15637.5,-76.05,-86.6,-82.575,21.75,42.375,0.00125,261.875,48.0,367.375,367.3875,367.375
113.2,15866.666666666666,-77.63333333333333,-82.39999999999999,-78.23333333333333,50.333333333333336,98.66666666666667,0.0033333333333333335,270.0,34.333333333333336,364.3333333333333,364.40000000000003,364.3333333333333
113.3,15850.0,-75.04285714285713,-84.04285714285713,-79.91428571428571,36.142857142857146,70.28571428571429,0.0014285714285714286,271.42857142857144,39.57142857142857,369.09999999999997,369.09999999999997,369.09999999999997
113.4,15850.0,-74.89999999999999,-84.01428571428572,-79.88571428571427,25.142857142857142,48.42857142857143,0.0014285714285714286,255.71428571428572,38.142857142857146,369.2142857142857,369.24285714285713,369.2142857142857
113.5,15850.0,-76.475,-85.525,-81.4,24.5,47.75,0.0,275.0,51.5,366.2,366.2,366.2
113.6,15850.0,-75.17777777777778,-84.66666666666667,-80.54444444444444,25.11111111111111,48.888888888888886,0.0,273.3333333333333,41.44444444444444,368.5888888888889,368.5888888888889,368.5888888888889
113.7,15850.0,-76.45,-85.325,-81.2625,24.625,47.875,0.0,272.5,34.875,366.0375,366.05,366.0375
113.8,15852.5,-74.815,-84.80499999999999,-80.7,24.7,47.9,0.0,245.0,35.95,369.04499999999996,369.08000000000004,369.04499999999996
113.9,15850.0,-76.91666666666667,-84.875,-80.76666666666667,29.416666666666668,57.5,0.0,247.91666666666666,30.416666666666668,365.02500000000003,365.0416666666667,365.02500000000003
114.0,15866.924479166666,-76.72005208333333,-84.7140625,-80.59869791666667,30.661458333333332,59.653645833333336,0.00015625,243.78645833333334,30.299479166666668,365.30703124999997,365.32395833333334,365.3072916666667
114.1,15850.0,-75.92727272727274,-85.0,-80.89090909090909,25.545454545454547,49.63636363636363,0.0,260.0,35.54545454545455,366.7,366.7,366.7
114.2,15850.0,-76.27333333333333,-84.34666666666666,-80.22666666666667,30.866666666666667,59.8,0.0,256.0,27.2,365.94666666666666,365.96,365.94666666666666
114.3,15850.0,-76.67777777777778,-83.6888888888889,-79.51111111111112,35.111111111111114,68.22222222222223,0.0,276.1111111111111,34.666666666666664,365.1,365.1222222222222,365.1
114.4,15850.0,-74.94,-84.83,-80.72,21.2,41.0,0.0,260.5,31.5,368.23,368.26,368.23
114.5,15850.0,-77.06363636363636,-83.64545454545454,-79.49090909090908,36.09090909090909,70.18181818181819,0.0,243.1818181818182,29.636363636363637,364.26363636363635,364.28181818181815,364.26363636363635
114.6,15850.0,-77.55454545454546,-85.04545454545455,-80.92727272727274,30.545454545454547,59.36363636363637,0.0,246.8181818181818,29.636363636363637,363.22727272727275,363.25454545454545,363.22727272727275
114.7,15850.0,-75.91428571428571,-86.35714285714286,-82.3,21.285714285714285,41.42857142857143,0.0,251.42857142857142,33.285714285714285,366.14285714285717,366.14285714285717,366.14285714285717
114.8,15850.0,-77.05,-84.875,-80.7625,30.5,59.0,0.0,223.125,26.875,363.9625,363.975,363.9625
114.9,15850.0,-76.825,-84.2125,-80.075,30.625,59.625,0.0,247.5,27.0,364.3125,364.3125,364.3125
115.0,15814.975247524753,-76.58886138613862,-84.6638613861386,-80.54975247524752,30.425742574257427,59.19059405940594,4.950495049504951e-05,241.41831683168317,29.962871287128714,364.6455445544554,364.66039603960394,364.6465346534654
115.1,15850.0,-76.72222222222223,-83.77777777777777,-79.64444444444445,33.111111111111114,64.33333333333333,0.0,253.88888888888889,38.111111111111114,364.29999999999995,364.29999999999995,364.29999999999995
115.2,15850.0,-76.8,-83.57142857142857,-79.44285714285715,34.714285714285715,67.14285714285714,0.0,240.71428571428572,31.857142857142858,364.0857142857143,364.0857142857143,364.0857142857143
115.3,15850.0,-76.6375,-84.525,-80.425,33.125,64.375,0.0,225.625,20.625,364.275,364.275,364.275
115.4,15850.0,-77.25999999999999,-84.44,-80.32000000000001,34.8,67.6,0.0,256.0,20.4,363.0,363.04,363.02000000000004
115.5,15850.0,-78.25,-83.35,-79.19999999999999,44.0,86.0,0.0,230.0,39.0,361.1,361.1,361.1
115.6,15850.0,-77.81428571428572,-85.84285714285714,-81.72857142857143,30.142857142857142,59.142857142857146,0.0,230.71428571428572,27.285714285714285,361.87142857142857,361.87142857142857,361.87142857142857
115.7,15850.0,-75.8,-85.19999999999999,-81.1,22.0,42.5,0.0,237.5,26.5,365.45000000000005,365.45000000000005,365.45000000000005
115.8,15850.0,-76.9,-85.1,-81.0,29.5,58.0,0.0,173.75,30.5,363.375,363.375,363.375
115.9,15850.0,-78.8,-83.5,-79.3,46.0,91.0,0.0,215.0,12.0,359.8,359.8,359.8
116.0,15763.15072463768,-76.3104347826087,-84.60492753623188,-80.48753623188406,29.44927536231884,57.25797101449275,0.00014492753623188405,245.1478260869565,32.61159420289855,364.26144927536234,364.2768115942029,364.26202898550724
116.1,15166.666666666666,-74.43333333333334,-83.66666666666667,-79.5,33.333333333333336,64.66666666666667,0.0,211.66666666666666,18.0,367.7,367.73333333333335,367.7
116.2,15850.0,-77.03333333333333,-83.8,-79.66666666666667,34.5,67.0,0.0,225.0,23.666666666666668,362.7166666666667,362.73333333333335,362.7166666666667
116.4,15800.0,-74.9,-82.78,-78.64,30.4,58.4,0.004,171.0,39.2,366.5,366.54,366.5
116.5,15850.0,-76.0,-84.35,-80.19999999999999,26.0,50.5,0.0,137.5,24.0,364.35,364.4,364.35
117.0,15713.208108108109,-75.9935135135135,-84.22459459459459,-80.09891891891891,30.005405405405405,58.20810810810811,0.0001891891891891892,249.14324324324323,32.372972972972974,363.95,363.9675675675676,363.95027027027027
117.3,15545.0,-74.9,-80.5,-76.3,42.0,80.0,0.01,290.0,74.0,365.6,365.7,365.6
118.0,15665.4297752809,-75.7182584269663,-83.93567415730337,-79.80898876404494,30.171348314606742,58.325842696629216,0.006123595505617977,246.67134831460675,32.26123595505618,363.57247191011237,363.6230337078652,363.576404494382
118.3,15545.0,-75.2,-81.4,-77.2,38.0,73.0,0.0,240.0,51.0,364.2,364.2,364.2
118.4,15545.0,-75.3,-83.9,-79.7,25.0,49.0,0.0,255.0,20.0,364.1,364.1,364.1
118.5,15545.0,-70.7,-84.06666666666666,-79.96666666666667,13.333333333333334,25.0,0.0,281.6666666666667,57.333333333333336,372.3333333333333,372.3333333333333,372.3333333333333
118.6,15545.0,-73.3,-85.0,-80.9,15.0,30.0,0.0,285.0,45.0,367.4,367.4,367.4
118.7,15545.0,-72.25,-85.94999999999999,-81.9,12.0,23.0,0.0,277.5,30.5,369.3,369.35,369.3
118.8,15545.0,-74.26666666666667,-83.45,-79.26666666666667,25.833333333333332,49.666666666666664,0.0,264.1666666666667,47.833333333333336,365.56666666666666,365.5833333333333,365.56666666666666
118.9,15545.0,-74.03333333333335,-83.46666666666667,-79.33333333333333,23.0,44.333333333333336,0.0,271.6666666666667,54.0,365.90000000000003,365.93333333333334,365.90000000000003
119.0,15616.609065155808,-75.62974504249291,-83.8770538243626,-79.73824362606231,30.328611898016998,58.79036827195468,0.00028328611898017,247.23229461756375,32.28045325779037,362.8637393767705,362.88016997167136,362.8643059490085
119.1,15545.0,-71.5,-84.7,-80.6,12.0,24.0,0.0,280.0,36.0,370.3,370.3,370.3
119.2,15556.0,-73.4,-83.62,-79.47999999999999,33.4,64.6,0.002,264.0,39.6,366.76,366.8,366.78000000000003
119.3,15545.0,-75.3,-83.55,-79.375,28.5,55.5,0.0,245.0,38.25,363.175,363.2,363.2
