PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
526.2,5486.0,-3.096551724137931,-19.768965517241377,-17.820689655172412,37.41379310344828,38.89655172413793,2.107931034482758,217.06896551724137,21.58620689655172,324.41379310344826,331.69310344827585,324.82758620689657
526.3,5479.384615384615,-3.519230769230769,-17.515384615384615,-15.761538461538462,42.19230769230769,43.73076923076923,2.3934615384615383,244.6153846153846,20.115384615384617,323.90769230769234,332.13461538461536,324.36153846153843
526.4,5486.0,-4.152631578947369,-17.573684210526313,-15.778947368421052,44.89473684210526,46.89473684210526,2.338421052631579,282.63157894736844,18.68421052631579,323.13157894736844,331.14736842105265,323.60526315789474
526.5,5475.25,-2.7,-18.7875,-17.0125,49.75,51.75,2.75,227.5,19.625,324.8375,334.2,325.4
526.6,5486.0,-2.4714285714285715,-20.87857142857143,-18.857142857142858,37.142857142857146,38.42857142857143,2.1478571428571427,163.57142857142858,16.642857142857142,325.11428571428576,332.4857142857143,325.54285714285714
526.7,5486.0,-1.688235294117647,-18.541176470588237,-16.75294117647059,42.294117647058826,43.05882352941177,2.668235294117647,217.94117647058823,15.705882352941176,326.0352941176471,335.15882352941173,326.55882352941177
526.8,5479.62962962963,-2.937037037037037,-18.314814814814813,-16.522222222222222,43.851851851851855,45.44444444444444,2.5044444444444447,233.14814814814812,17.11111111111111,324.5148148148148,333.0740740740741,325.0037037037037
526.9,5486.0,-3.038888888888889,-22.672222222222224,-20.50277777777778,31.166666666666668,32.111111111111114,1.7913888888888887,218.19444444444449,16.694444444444443,324.3722222222222,330.59722222222223,324.7277777777778
527.0,5474.318537859008,-2.894516971279373,-21.23994778067885,-19.210443864229767,36.6710182767624,37.929503916449086,2.116475195822454,242.51697127937337,18.9556135770235,324.5292428198433,331.8195822454308,324.9472584856397
527.1,5486.0,-4.121428571428572,-25.385714285714283,-22.978571428571428,28.642857142857142,29.928571428571427,1.4742857142857144,232.14285714285717,15.214285714285714,323.0571428571429,328.1642857142857,323.3285714285715
527.2,5467.571428571428,-1.4214285714285717,-23.02857142857143,-20.92142857142857,33.214285714285715,34.357142857142854,2.216428571428572,193.92857142857144,20.571428571428573,326.25,333.9142857142857,326.67857142857144
527.3,5466.153846153846,-2.261538461538461,-26.53076923076923,-24.09230769230769,30.23076923076923,31.46153846153846,1.6576923076923078,245.7692307692308,22.76923076923077,325.2384615384616,330.94615384615383,325.55384615384617
527.4,5470.823529411765,-2.429411764705882,-18.71764705882353,-16.852941176470587,42.0,43.52941176470589,2.356470588235294,188.52941176470588,19.058823529411764,325.01176470588234,333.0882352941176,325.4764705882353
527.5,5486.0,-2.534482758620689,-22.99655172413793,-20.782758620689656,28.379310344827587,29.06896551724138,1.7055172413793105,207.93103448275863,15.448275862068966,324.8827586206897,330.8379310344827,325.22758620689655
527.6,5481.222222222223,-3.161111111111111,-20.700000000000003,-18.694444444444443,37.05555555555556,38.388888888888886,2.126666666666667,205.0,16.5,324.10555555555555,331.4222222222222,324.52777777777777
527.7,5486.0,-4.0625,-18.9375,-17.0,33.625,35.125,1.82,266.25,19.625,322.975,329.3625,323.375
527.8,5432.25,-3.475,-23.15,-20.9625,34.25,35.5,1.93625,265.0,30.875,323.6875,330.35,324.0625
527.9,5466.888888888889,-3.355555555555556,-15.5,-13.9,47.55555555555556,49.333333333333336,2.667777777777778,235.55555555555557,14.77777777777778,323.79999999999995,332.94444444444446,324.32222222222225
528.0,5456.150997150997,-2.833333333333333,-20.264672364672364,-18.303988603988604,37.92307692307692,39.168091168091166,2.177834757834758,242.5811965811966,19.54700854700855,324.4316239316239,331.9219373219373,324.85612535612535
